Time_ms,Voltage_V,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z
5906,4.40,29.50,0.00,0.00,5.00,0.00,0.00
6006,4.39,30.00,0.00,0.00,5.00,0.00,0.00
6106,4.38,30.50,0.00,0.00,5.00,0.00,0.00
6206,4.37,31.00,0.00,0.00,5.00,0.00,0.00
6306,4.36,31.50,0.00,0.00,5.00,0.00,0.00
6407,4.35,32.00,0.00,0.00,5.00,0.00,0.00
6507,4.34,32.50,0.00,0.00,5.00,0.00,0.00
6607,4.33,33.00,0.00,0.00,5.00,0.00,0.00
6707,4.32,33.50,0.00,0.00,5.00,0.00,0.00
6807,4.31,34.00,0.00,0.00,5.00,0.00,0.00
6908,4.30,34.50,0.00,0.00,5.00,0.00,0.00
7007,4.29,35.00,0.00,0.00,5.00,0.00,0.00
7107,4.28,35.50,0.00,0.00,5.00,0.00,0.00
7207,4.27,36.00,0.00,0.00,5.00,0.00,0.00
7307,4.26,36.50,0.00,0.00,5.00,0.00,0.00
7408,4.25,37.00,0.00,0.00,5.00,0.00,0.00
7508,4.24,37.50,0.00,0.00,5.00,0.00,0.00
7608,4.23,38.00,0.00,0.00,5.00,0.00,0.00
7709,4.22,38.50,0.00,0.00,5.00,0.00,0.00
7809,4.21,39.00,0.00,0.00,5.00,0.00,0.00
7909,4.20,39.50,0.00,0.00,5.00,0.00,0.00
8008,4.19,40.00,0.00,0.00,5.00,0.00,0.00
8108,4.18,40.50,0.00,0.00,5.00,0.00,0.00
8208,4.17,41.00,0.00,0.00,5.00,0.00,0.00
8308,4.16,41.50,0.00,0.00,5.00,0.00,0.00
8410,4.15,42.00,0.00,0.00,5.00,0.00,0.00
8510,4.14,42.50,0.00,0.00,5.00,0.00,0.00
8610,4.13,43.00,0.00,0.00,5.00,0.00,0.00
8710,4.12,43.50,0.00,0.00,5.00,0.00,0.00
8810,4.11,44.00,0.00,0.00,5.00,0.00,0.00
8910,4.10,44.50,0.00,0.00,5.00,0.00,0.00
9009,4.09,45.00,0.00,0.00,5.00,0.00,0.00
9109,4.08,45.50,0.00,0.00,5.00,0.00,0.00
9210,4.07,46.00,0.00,0.00,5.00,0.00,0.00
9310,4.06,46.50,0.00,0.00,5.00,0.00,0.00
9411,4.05,47.00,0.00,0.00,5.00,0.00,0.00
9511,4.04,47.50,0.00,0.00,5.00,0.00,0.00
9611,4.03,48.00,0.00,0.00,5.00,0.00,0.00
9711,4.02,48.50,0.00,0.00,5.00,0.00,0.00
9812,4.01,49.00,0.00,0.00,5.00,0.00,0.00
9912,4.00,49.50,0.00,0.00,5.00,0.00,0.00
10011,3.99,50.00,0.00,0.00,5.00,0.00,0.00
10111,3.98,50.50,0.00,0.00,5.00,0.00,0.00
10211,3.97,51.00,0.00,0.00,5.00,0.00,0.00
10311,3.96,51.50,0.00,0.00,5.00,0.00,0.00
10412,3.95,52.00,0.00,0.00,5.00,0.00,0.00
10512,3.94,52.50,0.00,0.00,5.00,0.00,0.00
10612,3.93,53.00,0.00,0.00,5.00,0.00,0.00
10713,3.92,53.50,0.00,0.00,5.00,0.00,0.00
10813,3.91,54.00,0.00,0.00,5.00,0.00,0.00
10913,3.90,54.50,0.00,0.00,5.00,0.00,0.00
11012,3.89,55.00,0.00,0.00,5.00,0.00,0.00
11112,3.88,55.50,0.00,0.00,5.00,0.00,0.00
11212,3.87,56.00,0.00,0.00,5.00,0.00,0.00
11313,3.86,56.50,0.00,0.00,5.00,0.00,0.00
11414,3.85,57.00,0.00,0.00,5.00,0.00,0.00
11514,3.84,57.50,0.00,0.00,5.00,0.00,0.00
11614,3.83,58.00,0.00,0.00,5.00,0.00,0.00
11714,3.82,58.50,0.00,0.00,5.00,0.00,0.00
11814,3.81,59.00,0.00,0.00,5.00,0.00,0.00
11914,3.80,59.50,0.00,0.00,5.00,0.00,0.00
12014,3.79,60.00,0.00,0.00,5.00,0.00,0.00
12114,3.78,60.50,0.00,0.00,5.00,0.00,0.00
12214,3.77,61.00,0.00,0.00,5.00,0.00,0.00
12314,3.76,61.50,0.00,0.00,5.00,0.00,0.00
12415,3.75,62.00,0.00,0.00,5.00,0.00,0.00
12515,3.74,62.50,0.00,0.00,5.00,0.00,0.00
12615,3.73,63.00,0.00,0.00,5.00,0.00,0.00
12716,3.72,63.50,0.00,0.00,5.00,0.00,0.00
12816,3.71,64.00,0.00,0.00,5.00,0.00,0.00
12916,3.70,64.50,0.00,0.00,5.00,0.00,0.00
13015,3.69,65.00,0.00,0.00,5.00,0.00,0.00
13115,3.68,65.50,0.00,0.00,5.00,0.00,0.00
13215,3.67,66.00,0.00,0.00,5.00,0.00,0.00
13315,3.66,66.50,0.00,0.00,5.00,0.00,0.00
13417,3.65,67.00,0.00,0.00,5.00,0.00,0.00
13517,3.64,67.50,0.00,0.00,5.00,0.00,0.00
13617,3.63,68.00,0.00,0.00,5.00,0.00,0.00
13717,3.62,68.50,0.00,0.00,5.00,0.00,0.00
13817,3.61,69.00,0.00,0.00,5.00,0.00,0.00
13917,3.60,69.50,0.00,0.00,5.00,0.00,0.00
14016,3.59,70.00,0.00,0.00,5.00,0.00,0.00
14117,3.58,70.50,0.00,0.00,5.00,0.00,0.00
14217,3.57,71.00,0.00,0.00,5.00,0.00,0.00
14317,3.56,71.50,0.00,0.00,5.00,0.00,0.00
14418,3.55,72.00,0.00,0.00,5.00,0.00,0.00
14518,3.54,72.50,0.00,0.00,5.00,0.00,0.00
14618,3.53,73.00,0.00,0.00,5.00,0.00,0.00
14718,3.52,73.50,0.00,0.00,5.00,0.00,0.00
14818,3.51,74.00,0.00,0.00,5.00,0.00,0.00
14919,3.50,74.50,0.00,0.00,5.00,0.00,0.00
15018,3.49,74.50,0.00,0.00,5.00,0.00,0.00
15118,3.48,74.50,0.00,0.00,5.00,0.00,0.00
15218,3.47,74.50,0.00,0.00,5.00,0.00,0.00
15318,3.46,74.50,0.00,0.00,5.00,0.00,0.00
15419,3.45,74.50,0.00,0.00,5.00,0.00,0.00
15519,3.44,74.50,0.00,0.00,5.00,0.00,0.00
15619,3.43,74.50,0.00,0.00,5.00,0.00,0.00
15719,3.42,74.50,0.00,0.00,5.00,0.00,0.00
15820,3.41,74.50,0.00,0.00,5.00,0.00,0.00
15920,3.40,74.50,0.00,0.00,5.00,0.00,0.00
16019,3.39,74.50,0.00,0.00,5.00,0.00,0.00
16119,3.38,74.50,0.00,0.00,5.00,0.00,0.00
16219,3.37,74.50,0.00,0.00,5.00,0.00,0.00
16319,3.36,74.50,0.00,0.00,5.00,0.00,0.00
16420,3.35,74.50,0.00,0.00,5.00,0.00,0.00
16520,3.34,74.50,0.00,0.00,5.00,0.00,0.00
16620,3.33,74.50,0.00,0.00,5.00,0.00,0.00
16721,3.32,74.50,0.00,0.00,5.00,0.00,0.00
16821,3.31,74.50,0.00,0.00,5.00,0.00,0.00
16921,3.30,74.50,0.00,0.00,5.00,0.00,0.00
17020,3.29,74.50,0.00,0.00,5.00,0.00,0.00
17121,3.28,74.50,0.00,0.00,5.00,0.00,0.00
17221,3.27,74.50,0.00,0.00,5.00,0.00,0.00
17321,3.26,74.50,0.00,0.00,5.00,0.00,0.00
17422,3.25,74.50,0.00,0.00,5.00,0.00,0.00
17522,3.24,74.50,0.00,0.00,5.00,0.00,0.00
17622,3.23,74.50,0.00,0.00,5.00,0.00,0.00
17723,3.22,74.50,0.00,0.00,5.00,0.00,0.00
17823,3.21,74.50,0.00,0.00,5.00,0.00,0.00
17923,3.20,74.50,0.00,0.00,5.00,0.00,0.00
18022,3.19,74.50,0.00,0.00,5.00,0.00,0.00
18122,3.18,74.50,0.00,0.00,5.00,0.00,0.00
18222,3.17,74.50,0.00,0.00,5.00,0.00,0.00
18322,3.16,74.50,0.00,0.00,5.00,0.00,0.00
18423,3.15,74.50,0.00,0.00,5.00,0.00,0.00
18523,3.14,74.50,0.00,0.00,5.00,0.00,0.00
18624,3.13,74.50,0.00,0.00,5.00,0.00,0.00
18724,3.12,74.50,0.00,0.00,5.00,0.00,0.00
18824,3.11,74.50,0.00,0.00,5.00,0.00,0.00
18924,3.10,74.50,0.00,0.00,5.00,0.00,0.00
19023,3.09,74.50,0.00,0.00,5.00,0.00,0.00
19123,3.08,74.50,0.00,0.00,5.00,0.00,0.00
19223,3.07,74.50,0.00,0.00,5.00,0.00,0.00
19323,3.06,74.50,0.00,0.00,5.00,0.00,0.00
19424,3.05,74.50,0.00,0.00,5.00,0.00,0.00
19524,3.04,74.50,0.00,0.00,5.00,0.00,0.00
19624,3.03,74.50,0.00,0.00,5.00,0.00,0.00
19724,3.02,74.50,0.00,0.00,5.00,0.00,0.00
19825,3.01,74.50,0.00,0.00,5.00,0.00,0.00
19925,3.00,74.50,0.00,0.00,5.00,0.00,0.00
20024,2.99,74.50,0.00,0.00,5.00,0.00,0.00
20124,2.98,74.50,0.00,0.00,5.00,0.00,0.00
20224,2.97,74.50,0.00,0.00,5.00,0.00,0.00
20324,2.96,74.50,0.00,0.00,5.00,0.00,0.00
20425,2.95,74.50,0.00,0.00,5.00,0.00,0.00
20525,2.94,74.50,0.00,0.00,5.00,0.00,0.00
20626,2.93,74.50,0.00,0.00,5.00,0.00,0.00
20726,2.92,74.50,0.00,0.00,5.00,0.00,0.00
20826,2.91,74.50,0.00,0.00,5.00,0.00,0.00
20926,2.90,74.50,0.00,0.00,5.00,0.00,0.00
21025,2.89,74.50,0.00,0.00,5.00,0.00,0.00
21125,2.88,74.50,0.00,0.00,5.00,0.00,0.00
21225,2.87,74.50,0.00,0.00,5.00,0.00,0.00
21325,2.86,74.50,0.00,0.00,5.00,0.00,0.00
21427,2.85,74.50,0.00,0.00,5.00,0.00,0.00
21527,2.84,74.50,0.00,0.00,5.00,0.00,0.00
21627,2.83,74.50,0.00,0.00,5.00,0.00,0.00
21727,2.82,74.50,0.00,0.00,5.00,0.00,0.00
21827,2.81,74.50,0.00,0.00,5.00,0.00,0.00
21927,2.80,74.50,0.00,0.00,5.00,0.00,0.00
22026,2.79,74.50,0.00,0.00,5.00,0.00,0.00
22127,2.78,74.50,0.00,0.00,5.00,0.00,0.00
22227,2.77,74.50,0.00,0.00,5.00,0.00,0.00
22327,2.76,74.50,0.00,0.00,5.00,0.00,0.00
22428,2.75,74.50,0.00,0.00,5.00,0.00,0.00
22528,2.74,74.50,0.00,0.00,5.00,0.00,0.00
22628,2.73,74.50,0.00,0.00,5.00,0.00,0.00
22729,2.72,74.50,0.00,0.00,5.00,0.00,0.00
22829,2.71,74.50,0.00,0.00,5.00,0.00,0.00
22929,2.70,74.50,0.00,0.00,5.00,0.00,0.00
23028,2.69,74.50,0.00,0.00,5.00,0.00,0.00
23128,2.68,74.50,0.00,0.00,5.00,0.00,0.00
23228,2.67,74.50,0.00,0.00,5.00,0.00,0.00
23328,2.66,74.50,0.00,0.00,5.00,0.00,0.00
23429,2.65,74.50,0.00,0.00,5.00,0.00,0.00
23529,2.64,74.50,0.00,0.00,5.00,0.00,0.00
23630,2.63,74.50,0.00,0.00,5.00,0.00,0.00
23730,2.62,74.50,0.00,0.00,5.00,0.00,0.00
23830,2.61,74.50,0.00,0.00,5.00,0.00,0.00
23930,2.60,74.50,0.00,0.00,5.00,0.00,0.00
24029,2.59,74.50,0.00,0.00,5.00,0.00,0.00
24129,2.58,74.50,0.00,0.00,5.00,0.00,0.00
24229,2.57,74.50,0.00,0.00,5.00,0.00,0.00
24331,2.56,74.50,0.00,0.00,5.00,0.00,0.00
24431,2.55,74.50,0.00,0.00,5.00,0.00,0.00
24531,2.54,74.50,0.00,0.00,5.00,0.00,0.00
24631,2.53,74.50,0.00,0.00,5.00,0.00,0.00
24731,2.52,74.50,0.00,0.00,5.00,0.00,0.00
24831,2.51,74.50,0.00,0.00,5.00,0.00,0.00
24932,2.50,74.50,0.00,0.00,5.00,0.00,0.00
25031,2.49,74.50,0.00,0.00,5.00,0.00,0.00
25131,2.48,74.50,0.00,0.00,5.00,0.00,0.00
25232,2.47,74.50,0.00,0.00,5.00,0.00,0.00
25333,2.46,74.50,0.00,0.00,5.00,0.00,0.00
25433,2.45,74.50,0.00,0.00,5.00,0.00,0.00
25533,2.44,74.50,0.00,0.00,5.00,0.00,0.00
25633,2.43,74.50,0.00,0.00,5.00,0.00,0.00
25733,2.42,74.50,0.00,0.00,5.00,0.00,0.00
25833,2.41,74.50,0.00,0.00,5.00,0.00,0.00
25933,2.40,74.50,0.00,0.00,5.00,0.00,0.00
26033,2.39,74.50,0.00,0.00,5.00,0.00,0.00
26133,2.38,74.50,0.00,0.00,5.00,0.00,0.00
26233,2.37,74.50,0.00,0.00,5.00,0.00,0.00
26334,2.36,74.50,0.00,0.00,5.00,0.00,0.00
26434,2.35,74.50,0.00,0.00,5.00,0.00,0.00
26534,2.34,74.50,0.00,0.00,5.00,0.00,0.00
26635,2.33,74.50,0.00,0.00,5.00,0.00,0.00
26735,2.32,74.50,0.00,0.00,5.00,0.00,0.00
26835,2.31,74.50,0.00,0.00,5.00,0.00,0.00
26935,2.30,74.50,0.00,0.00,5.00,0.00,0.00
27034,2.29,74.50,0.00,0.00,5.00,0.00,0.00
27134,2.28,74.50,0.00,0.00,5.00,0.00,0.00
27234,2.27,74.50,0.00,0.00,5.00,0.00,0.00
27335,2.26,74.50,0.00,0.00,5.00,0.00,0.00
27435,2.25,74.50,0.00,0.00,5.00,0.00,0.00
27536,2.24,74.50,0.00,0.00,5.00,0.00,0.00
27636,2.23,74.50,0.00,0.00,5.00,0.00,0.00
27736,2.22,74.50,0.00,0.00,5.00,0.00,0.00
27836,2.21,74.50,0.00,0.00,5.00,0.00,0.00
27936,2.20,74.50,0.00,0.00,5.00,0.00,0.00
28035,2.19,74.50,0.00,0.00,5.00,0.00,0.00
28135,2.18,74.50,0.00,0.00,5.00,0.00,0.00
28235,2.17,74.50,0.00,0.00,5.00,0.00,0.00
28336,2.16,74.50,0.00,0.00,5.00,0.00,0.00
28436,2.15,74.50,0.00,0.00,5.00,0.00,0.00
28537,2.14,74.50,0.00,0.00,5.00,0.00,0.00
28637,2.13,74.50,0.00,0.00,5.00,0.00,0.00
28737,2.12,74.50,0.00,0.00,5.00,0.00,0.00
28837,2.11,74.50,0.00,0.00,5.00,0.00,0.00
28937,2.10,74.50,0.00,0.00,5.00,0.00,0.00
29036,2.09,74.50,0.00,0.00,5.00,0.00,0.00
29136,2.08,74.50,0.00,0.00,5.00,0.00,0.00
29236,2.07,74.50,0.00,0.00,5.00,0.00,0.00
29338,2.06,74.50,0.00,0.00,5.00,0.00,0.00
29438,2.05,74.50,0.00,0.00,5.00,0.00,0.00
29538,2.04,74.50,0.00,0.00,5.00,0.00,0.00
29638,2.03,74.50,0.00,0.00,5.00,0.00,0.00
29738,2.02,74.50,0.00,0.00,5.00,0.00,0.00
29838,2.01,74.50,0.00,0.00,5.00,0.00,0.00
29938,2.00,74.50,0.00,0.00,5.00,0.00,0.00
30037,1.99,74.50,0.00,0.00,5.00,0.00,0.00
30137,1.98,74.50,0.00,0.00,5.00,0.00,0.00
30237,1.97,74.50,0.00,0.00,5.00,0.00,0.00
30338,1.96,74.50,0.00,0.00,5.00,0.00,0.00
30438,1.95,74.50,0.00,0.00,5.00,0.00,0.00
30538,1.94,74.50,0.00,0.00,5.00,0.00,0.00
30639,1.93,74.50,0.00,0.00,5.00,0.00,0.00
30739,1.92,74.50,0.00,0.00,5.00,0.00,0.00
30839,1.91,74.50,0.00,0.00,5.00,0.00,0.00
30939,1.90,74.50,0.00,0.00,5.00,0.00,0.00
31038,1.89,74.50,0.00,0.00,5.00,0.00,0.00
31138,1.88,74.50,0.00,0.00,5.00,0.00,0.00
31238,1.87,74.50,0.00,0.00,5.00,0.00,0.00
31339,1.86,74.50,0.00,0.00,5.00,0.00,0.00
31439,1.85,74.50,0.00,0.00,5.00,0.00,0.00
31540,1.84,74.50,0.00,0.00,5.00,0.00,0.00
31640,1.83,74.50,0.00,0.00,5.00,0.00,0.00
31740,1.82,74.50,0.00,0.00,5.00,0.00,0.00
31840,1.81,74.50,0.00,0.00,5.00,0.00,0.00
31940,1.80,74.50,0.00,0.00,5.00,0.00,0.00
32040,1.79,74.50,0.00,0.00,5.00,0.00,0.00
32140,1.78,74.50,0.00,0.00,5.00,0.00,0.00
32240,1.77,74.50,0.00,0.00,5.00,0.00,0.00
32341,1.76,74.50,0.00,0.00,5.00,0.00,0.00
32441,1.75,74.50,0.00,0.00,5.00,0.00,0.00
32541,1.74,74.50,0.00,0.00,5.00,0.00,0.00
32641,1.73,74.50,0.00,0.00,5.00,0.00,0.00
32742,1.72,74.50,0.00,0.00,5.00,0.00,0.00
32842,1.71,74.50,0.00,0.00,5.00,0.00,0.00
32942,1.70,74.50,0.00,0.00,5.00,0.00,0.00
33041,1.69,74.50,0.00,0.00,5.00,0.00,0.00
33141,1.68,74.50,0.00,0.00,5.00,0.00,0.00
33241,1.67,74.50,0.00,0.00,5.00,0.00,0.00
33343,1.66,74.50,0.00,0.00,5.00,0.00,0.00
33443,1.65,74.50,0.00,0.00,5.00,0.00,0.00
33543,1.64,74.50,0.00,0.00,5.00,0.00,0.00
33643,1.63,74.50,0.00,0.00,5.00,0.00,0.00
33743,1.62,74.50,0.00,0.00,5.00,0.00,0.00
33843,1.61,74.50,0.00,0.00,5.00,0.00,0.00
33943,1.60,74.50,0.00,0.00,5.00,0.00,0.00
34042,1.59,74.50,0.00,0.00,5.00,0.00,0.00
34142,1.58,74.50,0.00,0.00,5.00,0.00,0.00
34242,1.57,74.50,0.00,0.00,5.00,0.00,0.00
34343,1.56,74.50,0.00,0.00,5.00,0.00,0.00
34444,1.55,74.50,0.00,0.00,5.00,0.00,0.00
34544,1.54,74.50,0.00,0.00,5.00,0.00,0.00
34644,1.53,74.50,0.00,0.00,5.00,0.00,0.00
34744,1.52,74.50,0.00,0.00,5.00,0.00,0.00
34844,1.51,74.50,0.00,0.00,5.00,0.00,0.00
34944,1.50,74.50,0.00,0.00,5.00,0.00,0.00
35043,1.49,74.50,0.00,0.00,5.00,0.00,0.00
35143,1.48,74.50,0.00,0.00,5.00,0.00,0.00
35243,1.47,74.50,0.00,0.00,5.00,0.00,0.00
35344,1.46,74.50,0.00,0.00,5.00,0.00,0.00
35445,1.45,74.50,0.00,0.00,5.00,0.00,0.00
35545,1.44,74.50,0.00,0.00,5.00,0.00,0.00
35645,1.43,74.50,0.00,0.00,5.00,0.00,0.00
35745,1.42,74.50,0.00,0.00,5.00,0.00,0.00
35845,1.41,74.50,0.00,0.00,5.00,0.00,0.00
35945,1.40,74.50,0.00,0.00,5.00,0.00,0.00
36044,1.39,74.50,0.00,0.00,5.00,0.00,0.00
36144,1.38,74.50,0.00,0.00,5.00,0.00,0.00
36244,1.37,74.50,0.00,0.00,5.00,0.00,0.00
36346,1.36,74.50,0.00,0.00,5.00,0.00,0.00
36446,1.35,74.50,0.00,0.00,5.00,0.00,0.00
36546,1.34,74.50,0.00,0.00,5.00,0.00,0.00
36646,1.33,74.50,0.00,0.00,5.00,0.00,0.00
36746,1.32,74.50,0.00,0.00,5.00,0.00,0.00
36846,1.31,74.50,0.00,0.00,5.00,0.00,0.00
36946,1.30,74.50,0.00,0.00,5.00,0.00,0.00
37045,1.29,74.50,0.00,0.00,5.00,0.00,0.00
37146,1.28,74.50,0.00,0.00,5.00,0.00,0.00
37246,1.27,74.50,0.00,0.00,5.00,0.00,0.00
37347,1.26,74.50,0.00,0.00,5.00,0.00,0.00
37447,1.25,74.50,0.00,0.00,5.00,0.00,0.00
37547,1.24,74.50,0.00,0.00,5.00,0.00,0.00
37647,1.23,74.50,0.00,0.00,5.00,0.00,0.00
37748,1.22,74.50,0.00,0.00,5.00,0.00,0.00
37848,1.21,74.50,0.00,0.00,5.00,0.00,0.00
37948,1.20,74.50,0.00,0.00,5.00,0.00,0.00
38047,1.19,74.50,0.00,0.00,5.00,0.00,0.00
38147,1.18,74.50,0.00,0.00,5.00,0.00,0.00
38247,1.17,74.50,0.00,0.00,5.00,0.00,0.00
38348,1.16,74.50,0.00,0.00,5.00,0.00,0.00
38448,1.15,74.50,0.00,0.00,5.00,0.00,0.00
38548,1.14,74.50,0.00,0.00,5.00,0.00,0.00
38648,1.13,74.50,0.00,0.00,5.00,0.00,0.00
38748,1.12,74.50,0.00,0.00,5.00,0.00,0.00
38848,1.11,74.50,0.00,0.00,5.00,0.00,0.00
38949,1.10,74.50,0.00,0.00,5.00,0.00,0.00
39048,1.09,74.50,0.00,0.00,5.00,0.00,0.00
39148,1.08,74.50,0.00,0.00,5.00,0.00,0.00
39248,1.07,74.50,0.00,0.00,5.00,0.00,0.00
39349,1.06,74.50,0.00,0.00,5.00,0.00,0.00
39450,1.05,74.50,0.00,0.00,5.00,0.00,0.00
39550,1.04,74.50,0.00,0.00,5.00,0.00,0.00
39650,1.03,74.50,0.00,0.00,5.00,0.00,0.00
39750,1.02,74.50,0.00,0.00,5.00,0.00,0.00
39850,1.01,74.50,0.00,0.00,5.00,0.00,0.00
39951,1.00,74.50,0.00,0.00,5.00,0.00,0.00
40050,0.99,74.50,0.00,0.00,5.00,0.00,0.00
40150,0.98,74.50,0.00,0.00,5.00,0.00,0.00
40250,0.97,74.50,0.00,0.00,5.00,0.00,0.00
40351,0.96,74.50,0.00,0.00,5.00,0.00,0.00
40451,0.95,74.50,0.00,0.00,5.00,0.00,0.00
40552,0.94,74.50,0.00,0.00,5.00,0.00,0.00
40652,0.93,74.50,0.00,0.00,5.00,0.00,0.00
40752,0.92,74.50,0.00,0.00,5.00,0.00,0.00
40852,0.91,74.50,0.00,0.00,5.00,0.00,0.00
40952,0.90,74.50,0.00,0.00,5.00,0.00,0.00
41052,0.89,74.50,0.00,0.00,5.00,0.00,0.00
41152,0.88,74.50,0.00,0.00,5.00,0.00,0.00
41252,0.87,74.50,0.00,0.00,5.00,0.00,0.00
41353,0.86,74.50,0.00,0.00,5.00,0.00,0.00
41453,0.85,74.50,0.00,0.00,5.00,0.00,0.00
41554,0.84,74.50,0.00,0.00,5.00,0.00,0.00
41654,0.83,74.50,0.00,0.00,5.00,0.00,0.00
41754,0.82,74.50,0.00,0.00,5.00,0.00,0.00
41854,0.81,74.50,0.00,0.00,5.00,0.00,0.00
41954,0.80,74.50,0.00,0.00,5.00,0.00,0.00
42053,0.79,74.50,0.00,0.00,5.00,0.00,0.00
42153,0.78,74.50,0.00,0.00,5.00,0.00,0.00
42253,0.77,74.50,0.00,0.00,5.00,0.00,0.00
42354,0.76,74.50,0.00,0.00,5.00,0.00,0.00
42454,0.75,74.50,0.00,0.00,5.00,0.00,0.00
42555,0.74,74.50,0.00,0.00,5.00,0.00,0.00
42655,0.73,74.50,0.00,0.00,5.00,0.00,0.00
42755,0.72,74.50,0.00,0.00,5.00,0.00,0.00
42855,0.71,74.50,0.00,0.00,5.00,0.00,0.00
42955,0.70,74.50,0.00,0.00,5.00,0.00,0.00
43054,0.69,74.50,0.00,0.00,5.00,0.00,0.00
43155,0.68,74.50,0.00,0.00,5.00,0.00,0.00
43255,0.67,74.50,0.00,0.00,5.00,0.00,0.00
43356,0.66,74.50,0.00,0.00,5.00,0.00,0.00
43456,0.65,74.50,0.00,0.00,5.00,0.00,0.00
43556,0.64,74.50,0.00,0.00,5.00,0.00,0.00
43656,0.63,74.50,0.00,0.00,5.00,0.00,0.00
43756,0.62,74.50,0.00,0.00,5.00,0.00,0.00
43857,0.61,74.50,0.00,0.00,5.00,0.00,0.00
43957,0.60,74.50,0.00,0.00,5.00,0.00,0.00
44056,0.59,74.50,0.00,0.00,5.00,0.00,0.00
44156,0.58,74.50,0.00,0.00,5.00,0.00,0.00
44256,0.57,74.50,0.00,0.00,5.00,0.00,0.00
44357,0.56,74.50,0.00,0.00,5.00,0.00,0.00
44458,0.55,74.50,0.00,0.00,5.00,0.00,0.00
44558,0.54,74.50,0.00,0.00,5.00,0.00,0.00
44658,0.53,74.50,0.00,0.00,5.00,0.00,0.00
44758,0.52,74.50,0.00,0.00,5.00,0.00,0.00
